Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Notes,Image links
C-156,2014,Ford E-450/Wheeled Coach,,Ambulance 60 (5/2014 - present),,,,,,,"First seen 5/21/2014; also has small ambulance box lettering, small EMS symbol, and lower vent location, but marker light moved",Ambulance 60 (Josh Boyajian)
C-157,2014,Ford E-450/Wheeled Coach,,Ambulance 5 (? - present),,,,,,,First seen 9/17/2014,"Ambulance 5 (Dennis McGuire, Jr.)"
C-158,2014,Ford E-450/Wheeled Coach,,Ambulance 48 (? - present),,,,,,,First seen 11/24/2014,"Ambulance 48 (Dennis McGuire, Jr.)"
C-159,2014,Ford E-450/Wheeled Coach,,Ambulance 3 (? - present),,,,,,,,Ambulance 3 (Zol87)
C-160,2014,Ford E-450/Wheeled Coach,,Ambulance 22 (? - present),,,,,,,First seen 11/8/2014,"Ambulance 22 (Dennis McGuire, Jr.)"
C-161,2014,Ford E-450/Wheeled Coach,,Ambulance 50 (? - present),,,,,,,,Ambulance 50 (Josh Boyajian)
C-162,2014,Ford E-450/Wheeled Coach,,Ambulance 19 (? - present),,,,,,,First seen 10/1/2014,Ambulance 19 (mbernero)
C-163,2014,Ford E-450/Wheeled Coach,,Ambulance 86 (7/2014 - 9/22/2014),Ambulance 67 (9/22/2014 - present),,,,,,Replaced C-955 at Ambulance 86; Ambulance 86 (BLS) reorganized as Ambulance 67 (ALS) after elimination of BLS ambulances in September 2014,Ambulance 86 (Josh Boyajian) Ambulance 67 (Josh Boyajian)
C-164,2014,Ford E-450/Wheeled Coach,,Ambulance 58 (? - present),,,,,,,First seen 10/25/2014,Ambulance 58 (Josh Boyajian)
C-165,2014,Ford E-450/Wheeled Coach,,Ambulance 23 (5/2014 - 7/18/2014),,,,,,,"First seen completed at manufacturer, 5/15/2014, along with Ambulances 22 and possibly 25; first seen in service 5/30/2014; totaled in accident at Harlem & Bryn Mawr on 7/18/2014","Ambulance 23 (Dennis McGuire, Jr.)"
C-166,2014,Ford E-450/Wheeled Coach,,Ambulance 45 (? - present),,,,,,,,Ambulance 45 (Josh Boyajian)
C-167,2014,Ford E-450/Wheeled Coach,,Ambulance 29 (7/2014 - present),,,,,,,First seen 7/29/2014,"Ambulance 29 (Dennis McGuire, Jr.) Ambulance 29 (Karl Klotz)"
C-168,2014,Ford E-450/Wheeled Coach,,Ambulance 15 (2014 - present),,,,,,,*Busiest ambulance in Chicago in 2014; first seen 11/24/2014,Ambulance 15 (Josh Boyajian)
C-169,2014,Ford E-450/Wheeled Coach,,Ambulance 47 (7/2014? - present),,,,,,,First seen 8/15/2014,
C-170,2014,Ford E-450/Wheeled Coach,,Ambulance 9 (7/26/2014? - present),,,,,,,"First seen completed at manufacturer in Orlando, Florida on 5/23/2014",Ambulance 9 (Josh Boyajian)
C-171,2014,Ford E-450/Wheeled Coach,,Ambulance 41 (? - present),,,,,,,First seen 10/22/2014,"Ambulance 41 (Dennis McGuire, Jr.)"
C-172,2014,Ford E-450/Wheeled Coach,,Ambulance 49 (8/2014? - present),,,,,,,,"Ambulance 49 (Dennis McGuire, Jr.)"
C-173,,,,,,,,,,,,
C-174,2014,Ford E-450/Wheeled Coach,,Ambulance 6 (8/2014 - present),,,,,,,,"Ambulance 6 (Dennis McGuire, Jr.)"
C-175,2014,Ford E-450/Wheeled Coach,,Ambulance 1 (11/2014? - present),,,,,,,A1 first seen with new ambulance 8/8/2014,"Ambulance 1 (Dennis McGuire, Jr.)"
C-176,2014,Ford E-450/Wheeled Coach,,Ambulance 33 (? - present),,,,,,,,Ambulance 33 (Josh Boyajian)
C-177,2014,Ford E-450/Wheeled Coach,,Ambulance 36 (? - present),,,,,,,,
C-178,2014,Ford E-450/Wheeled Coach,,Ambulance 52 (? - present),,,,,,,,Ambulance 52 (Bill Friedrich)
C-179,,,,,,,,,,,,
C-180,2014,Ford E-450/Wheeled Coach,,Ambulance 34 (12/2014? - present),,,,,,,First seen 12/21/2014,Ambulance 34 (Josh Boyajian)
C-181,2014,Ford E-450/Wheeled Coach,,Ambulance 40 (? - present),,,,,,,,"Ambulance 40 (Dennis McGuire, Jr.)"
C-182,2014,Ford E-450/Wheeled Coach,,Ambulance 43 (12/2014 - present),,,,,,,First seen 12/29/2014,"Ambulance 43 (Dennis McGuire, Jr.)"
C-183,2014,Ford E-450/Wheeled Coach,,Ambulance 46 (? - present),,,,,,,,
C-184,2014,Ford E-450/Wheeled Coach,,Ambulance 54 (? - present),,,,,,,,Ambulance 54 (mbernero)
C-185,2014,Ford E-450/Wheeled Coach,,Ambulance 44 (? - present),,,,,,,,Ambulance 44 (mbernero)
C-186,2014,Ford E-450/Wheeled Coach,,Ambulance 35 (? - present),,,,,,,,Ambulance 35 (Josh Boyajian)
C-187,,,,,,,,,,,,
C-188,2014,Ford E-450/Wheeled Coach,,Ambulance 32 (? - present),,,,,,,,Ambulance 32 (Josh Boyajian)
C-189,2014,Ford E-450/Wheeled Coach,,Ambulance 20 (? - present),,,,,,,No shop numbers on front doors or hood,Ambulance 20 (Josh Boyajian)
C-190,2014,Ford E-450/Wheeled Coach,,Ambulance 53 (? - present),,,,,,,,"Ambulance 53 (Dennis McGuire, Jr.)"
C-191,2014,Ford E-450/Wheeled Coach,,Ambulance 38 (? - present),,,,,,,,"Ambulance 38 (Dennis McGuire, Jr.)"
C-192,2014,Ford E-450/Wheeled Coach,,Ambulance 4 (? - present),,,,,,,,Ambulance 4 (Josh Boyajian)
C-193,2014,Ford E-450/Wheeled Coach,,Ambulance 39 (? - present),,,,,,,,
C-194,2014,Ford E-450/Wheeled Coach,,Ambulance 55 (? - present),,,,,,,,Ambulance 55 (Josh Boyajian)
C-195,2014,Ford E-450/Wheeled Coach,,Ambulance 14 (12/2014? - present),,,,,,,First seen 1/26/2015,"Ambulance 14 (Dennis McGuire, Jr.)"
C-196,2014,Ford E-450/Wheeled Coach,,Ambulance 51 (12/2014 - present),,,,,,,First seen 1/2/2015,"Ambulance 51 (Dennis McGuire, Jr.)"
C-197,2014,Ford E-450/Wheeled Coach,,Ambulance 66 (? - present),,,,,,,First seen 2/18/2015,"Ambulance 66 (Dennis McGuire, Jr.)"
C-198,2014,Ford E-450/Wheeled Coach,,Ambulance 57 (? - present),,,,,,,Seen 4/23/2015 with replacement red LED light on driver’s-side front corner of ambulance box,Ambulance 57 (Josh Boyajian)
C-199,2014,Ford E-450/Wheeled Coach,,Ambulance 24 (? - present),,,,,,,,"Ambulance 24 (Dennis McGuire, Jr.)"
C-200,2015,Ford E-450/Wheeled Coach,,Ambulance 74 (? - present),,,,,,,First seen 2/18/2015,"Ambulance 74 (Dennis McGuire, Jr.)"
C-201,2015,Ford E-450/Wheeled Coach,,Ambulance 12 (? - present),,,,,,,First seen 3/10/2015,Ambulance 12 (Josh Boyajian)
C-202,,,,,,,,,,,,
C-203,2015,Ford E-450/Wheeled Coach,,Ambulance 8 (2015 - present),,,,,,,First seen 1/5/2016,Ambulance 8 (Drew Gresik)
C-204,2015,Ford E-450/Wheeled Coach,,Ambulance 11 (? - present),,,,,,,,
C-205,,,,,,,,,,,,
C-206,,,,,,,,,,,,
C-207,,,,,,,,,,,,
C-208,,,,,,,,,,,,
C-209,,,,,,,,,,,,
C-210,,,,,,,,,,,,
C-211,2015,Ford E-450/Wheeled Coach,,Ambulance 42 (2015 - present),,,,,,,First seen 12/26/2015,Ambulance 42 (Niko Stefani)
C-212,2015,Ford E-450/Wheeled Coach,,Ambulance 62 (2016 - present),,,,,,,First seen 1/22/2016,
C-213,,,,,,,,,,,,
C-214,,,,,,,,,,,,
C-215,,,,,,,,,,,,
C-216,2016?,Ford E-450/Wheeled Coach,,Ambulance 69 (2016 - present),,,,,,,First seen 2/19/2016,Ambulance 69 (Josh Boyajian)
