Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Notes,Image links
C-737,,,,,,,,,,,,
C-738,,,,,,,,,,,,
C-739,,,,,,,,,,,,
C-740,,,,,,,,,,,,
C-741,,,,,,,,,,,,
C-742,1986,Ford E-350/Wheeled Coach,,,,,,,,,Repainted black over red; Junked,
C-743,1987,Ford E-350/Wheeled Coach,,Ambulance 20,,,,,,,,
C-744,,,,,,,,,,,,
C-745,,,,,,,,,,,,
C-746,,,,,,,,,,,,
C-747,,,,,,,,,,,,
C-748,,,,,,,,,,,,
C-749,,,,,,,,,,,,
C-750,,,,,,,,,,,,
C-751,,,,,,,,,,,,
C-752,,,,,,,,,,,,
C-753,,,,,,,,,,,,
C-754,,,,,,,,,,,,
C-755,,,,,,,,,,,,
C-756,,,,,,,,,,,,
C-757,,,,,,,,,,,,
C-758,,,,,,,,,,,,
C-759,,,,,,,,,,,,
C-760,1987,Ford E-350/Wheeled Coach,,Ambulance 30,,,,,,,,
C-761,,,,,,,,,,,,
C-762,,,,,,,,,,,,
C-763,,,,,,,,,,,,
C-764,,,,,,,,,,,,
C-765,,,,,,,,,,,,
C-766,,,,,,,,,,,,
C-767,,,,,,,,,,,,
C-768,1987,Ford E-350/Wheeled Coach,,Ambulance 52 (5/18/1987 - ?),,,,,,,,
C-769,,,,,,,,,,,,
C-770,,,,,,,,,,,,
C-771,,,,,,,,,,,,
C-772,1987?,Ford E-350/Wheeled Coach,,,,,,,,,Emergency lights all changed to amber--either academy ambulance or shops vehicle; Sold at auction 7/17/2004,
C-773,,,,,,,,,,,,
C-774,,,,,,,,,,,,
C-775,,,,,,,,,,,,
C-776,,,,,,,,,,,,
C-777,,,,,,,,,,,,
C-778,1988,Ford E-350/Wheeled Coach,,,Spare ambulance,5 - 7 - 1 Building Maintenance,,,,,"*Could possibly be C-776; ambulance box lights changed to amber, while grille and roof beacon remained original",5-7-1 (Bill Friedrich)
C-779,,,,,,,,,,,,
C-780,,,,,,,,,,,,
C-781,,,,,,,,,,,,
C-782,,,,,,,,,,,,
C-783,,,,,,,,,,,,
C-784,1988,Ford E-350/Wheeled Coach,,,Air Mask 6 - 4 - 6,,,,,,,
C-785,,,,,,,,,,,,
C-786,1988,Ford E-350/Wheeled Coach,,,Squad 1B (air bag unit),,,,,,,Squad 1B (Bill Friedrich)
C-787,1988,Ford E-350/Wheeled Coach,,Ambulance 31,,,,,,,,
C-788,,,,,,,,,,,,
C-789,,,,,,,,,,,,
C-790,,,,,,,,,,,,
C-791,1989,Ford E-350/Wheeled Coach,,,Squad 5B (air bag unit),,,,,,Sold at auction 2/6/2007; 1989s were first with fender strobes?,Squad 5B (Bill Friedrich)
C-792,,,,,,,,,,,,
C-793,,,,,,,,,,,,
C-794,,,,,,,,,,,,
C-795,,,,,,,,,,,,
C-796,,,,,,,,,,,,
C-797,,,,,,,,,,,,
