Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
E-278,1996,Seagrave 100’ rear mount aerial,,Truck Co. 3 (5/24/1996 - 1/23/2002),Truck Co. 9 (5/16/2002 - 2/2011),Spare truck (2011 - present),,,,,,,"LEDs mounted next to front lights; first seen as spare 6/18/2011; still in service, with Mars 888, 11/25/2015",Truck 3 (Smith Bros) Truck 9 (Gordon J. Nord)
E-279,1996,Seagrave 100’ rear mount aerial,,Truck Co. 59 (4/29/1996 - 6/15/1997),Truck Co. 59 (2/16/1999 - 6/2011),Spare truck (2011 - present),,,,,,,"Rig tipped over during drilling 6/15/1997 and ladder, fully extended at the time, was severely damaged; Seagrave subsequently installed new aerial ladder; still in service 6/23/2013 with Mars 888 light",Truck 59 (Gordon J. Nord) Truck 59 (Gordon J. Nord)
E-280,1996,HME 1871/Simon/LTI 102’ rear mount tower ladder,,Tower Ladder 39 (9/13/1996 - 3/10/2016),,,,,,,,,In Memory of Captain Herbert “Herbie” Johnson,Tower Ladder 39 (before some graphic moves) (Gordon J. Nord) Tower Ladder 39 (Josh Boyajian) Changing over to new rig (Danny Nelms)
E-281,1996,HME 1871/Simon/LTI 102’ rear mount tower ladder,,Tower Ladder 10 (9/25/1996 - 2002),Tower Ladder 37 (1/17/2003 - 3/2/2016),,,,,,,,,Tower Ladder 10 (Smith Bros) Tower Ladder 37 (Smith Bros) Tower Ladder 37 (Gordon J. Nord) Tower Ladder 37 (immediately after switching to new rig) (Josh Boyajian)
E-282,1996?,Pierce Lance 100’ rear mount tower ladder,,Tower Ladder 63 (1996 - 3-4/2008),Tower Ladder 63R (3-4/2008 - ?),Tower Ladder 63S (? - present),,,,,,,Unconfirmed; still in service 3/14/2014; Code 3 Collectibles model replica (as T63),Tower Ladder 63 (Gordon J. Nord) Tower Ladder 63 (Smith Bros)
E-283,1996,HME 1871/Simon/LTI 102’ rear mount tower ladder,,Tower Ladder 14 (1/28/1997 - 5/17/2002),Tower Ladder 21 (5/29/2003 - present),,,,,,,,Retrofitted with LED spotlights by July 2013; hydraulic system underwent major overhaul while at TL 21,Tower Ladder 14 (Gordon J. Nord) Tower Ladder 14 (Gordon J. Nord) Tower Ladder 21 (Josh Boyajian)
E-284,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 24 (7/17/2000 - 5/2014),Spare truck (5/2014? - present),,,,,,,,Still in service 6/3/2015,Truck 24 (Gordon J. Nord)
E-285,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 13 (7/31/2000 - 10/2011?),Spare truck,,,,,,,,First seen as spare 7/17/2012; still in service 7/19/2015,Truck 13 (Gordon J. Nord)
E-286,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 60 (8/2/2000 - 4/16/2008),Truck Co. 8 (4/16/2008 - present),,,,,,,,Swapped units with Truck 8 when Truck 60 became paramedic equipped,Truck 60 (Erik Haak) Truck 8 (Josh Boyajian)
E-287,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 55 (8/4/2000 - 12/11/2008),Truck Co. 28 (12/11/2008 - 10/11/2012),Spare truck (2012 - present),,,,,,,Swapped units with Truck 55 when Truck 28 became paramedic equipped; still in service 3/8/2016,Truck 55 (Gordon J. Nord) Truck 28 (Gordon J. Nord) Spare truck (Gordon J. Nord)
E-288,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 11 (8/8/2000 - 10/9/2012),Spare truck (10/9/2012 - present),,,,,,,,Still in service 7/19/2015,Truck 11 (Gordon J. Nord)
E-289,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 50 (8/17/2000 - 10/2011),Spare truck (10/2011 - present),,,,,,,,Still in service 8/28/2014,Truck 50 (Erik Haak) Spare truck (Smith Bros)
E-290,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 30 (8/31/2000 - present),,,,,,,,,,Truck 30 (Gordon J. Nord)
E-291,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 49 (2000 - present),,,,,,,,,,Truck 49 (Josh Boyajian)
E-292,2000,E-One Hurricane 100’ rear mount aerial,,Truck Co. 45 (10/4/2000 - 2008),Truck Co. 40 (2008 - present),,,,,,,,"Swapped units with Truck 40 when Truck 45 became paramedic equipped; in memory of FF Walter Patmon, Jr.",Truck 45 (Karl Klotz) Truck 40 (Gordon J. Nord)
E-293,2000,Pierce Dash 100’ rear mount aerial,,Truck Co. 47 (12/22/2000 - 5/2014),Spare truck (6/2014 - present),,,,,,,,White main ladder; first seen as spare 6/18/2014; still in service 12/6/2015 without large shop numbers on doors,Truck 47 (Josh Boyajian)
E-294,2000,Pierce Dash 100’ rear mount aerial,,Truck Co. 52 (11/22/2000 - present),,,,,,,,,White main ladder; seen 4/28/2014 with tilt cab open and main ladder stuck extended at fire scene,Truck 52 (Gordon J. Nord)
E-295,2000,American LaFrance Eagle/LTI 100’ rear mount,,Tower Ladder 5 (5/28/2001 - present),,,,,,,,,Only one purchased; was a demo unit that had two turret guns in basket and pump (one gun & pump removed prior to CFD use); one of only a few CFD vehicles with Federal Q siren (non-electronic); slightly different stripe pattern,Tower Ladder 5 (Gordon J. Nord) Tower Ladder 5 (Smith Bros)
E-296,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 35 (1/9/2002 - present),,,,,,,,,First truck with LED grille lights; first truck with 4 Vector light pods per corner on cab roof (previous trucks had 3 per side),Truck 35 (Josh Boyajian)
E-297,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 42 (2002 - 2/2012),Spare truck (? - present),,,,,,,,First seen as spare 2/11/2013; spare numbers in non-standard CFD style; still in service 12/10/2014,Truck 42 (Gordon J. Nord)
E-298,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 58 (1/8/2002 - present),,,,,,,,,,Truck 58 (Josh Boyajian)
E-299,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 22 (1/16/2002 - present),,,,,,,,,,Truck 22 (Josh Boyajian)
E-300,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 44 (1/15/2002 - present),,,,,,,,,,Truck 44 (Gordon J. Nord)
E-301,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 4 (2002 - present),,,,,,,,,,Truck 4 (Josh Boyajian)
E-302,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 25 (2002 - present),,,,,,,,,,Truck 25 (Josh Boyajian)
E-303,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 29 (1/25/2002 - present),,,,,,,,,,Truck 29 (Josh Boyajian)
E-304,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 48 (1/25/2002 - present),,,,,,,,,,Truck 48 (Josh Boyajian)
E-305,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 3 (1/23/2002 - present),,,,,,,,,Code 3 Collectibles replica,Truck 3 (Josh Boyajian)
E-306,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 7 (1/24/2002 - present),,,,,,,,,,Truck 7 (Josh Boyajian)
E-307,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 26 (1/29/2002 - present),,,,,,,,,,Truck 26 (Josh Boyajian)
E-308,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 28 (1/30/2002 - 12/11//2008),Truck Co. 55 (12/11/2008 - present),,,,,,,,,Truck 28 (Gordon J. Nord) Truck 55 (Josh Boyajian)
E-309,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 32 (2002 - present),,,,,,,,,,Truck 32 (Josh Boyajian)
E-310,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 41 (3/14/2002 - present),,,,,,,,,,Truck 41 (Josh Boyajian)
E-311,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 8 (3/19/2002 - 4/16/2008),Truck Co. 60 (4/16/2008 - present),,,,,,,,Swapped units with Truck 8 when Truck 60 became paramedic equipped,Truck 8 (Gordon J. Nord) Truck 60 (Josh Boyajian)
E-312,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 16 (3/14/2002 - present),,,,,,,,,Involved in accident 8/15/2009,Truck 16 (Josh Boyajian) Truck 16 crash (chicagofd.org)
E-313,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 38 (2/8/2002 - present),,,,,,,,,,Truck 38 (Gordon J. Nord)
E-314,2002,Pierce Dash 100’ rear mount aerial,,2 - 8 - 7 Fire Academy Truck (6/24/2002 - present),,,,,,,,,Used in The Dark Knight; In Memory of Firefighter Steven McNamee; Code 3 Collectibles model replica,Academy Truck (Karl Klotz) Academy Truck (Smith Bros) As Gotham City Fire Department (Gordon J. Nord)
E-315,2002,Pierce Dash 100’ rear mount tower ladder,,Tower Ladder 14 (5/17/2002 - 3/2/2016),Tower Ladder 34 (5/2/2016 - present),,,,,,,,Has “Tower Co.” markings; first seen 5/1/2016 at Fleet yard marked for TL14,Tower Ladder 14 (Josh Boyajian)
E-316,2002,Pierce Dash 100’ rear mount tower ladder,,Tower Ladder 10 (2002 - present),,,,,,,,,Has “Tower Co.” markings,Tower Ladder 10 (Josh Boyajian)
E-317,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 2 (7/24/2002 - present),,,,,,,,,In Memory of FF/PM Christopher Wheatley,Truck 2 (Josh Boyajian)
E-318,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 19 (7/24/2002 - present),,,,,,,,,,Truck 19 (Josh Boyajian)
E-319,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 27 (8/2/2002 - present),,,,,,,,,,Truck 27 (Gordon J. Nord)
E-320,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 36 (8/7/2002 - present),,,,,,,,,,Truck 36 (Josh Boyajian)
E-321,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 33 (8/30/2002 - present),,,,,,,,,Spent most of 2014 OOS,Truck 33 (Gordon J. Nord)
E-322,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 15 (9/12/2002 - present),,,,,,,,,,Truck 15 (Josh Boyajian)
E-323,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 53 (2002 - present),,,,,,,,,,Truck 53 (Josh Boyajian)
E-324,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 57 (2002 - ?),,,,,,,,,,Truck 57 (Josh Boyajian)
E-325,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 40 (2002 - 2008),Truck Co. 45 (2008 - present),,,,,,,,Swapped units with Truck 45 when Truck 45 became paramedic equipped,Truck 40 (Gordon J. Nord) Truck 45 (Erik Haak)
E-326,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 6 (3/8/2004 - present),,,,,,,,,First apparatus for reorganized Truck 6,Truck 6 (Josh Boyajian)
E-327,2002,Pierce Dash 100’ rear mount aerial,,Truck Co. 17 (12/10/2002 - present),,,,,,,,,,Truck 17 (Josh Boyajian)
E-328,2002,Pierce Dash 100’ rear mount tower ladder,,Tower Ladder 34 (12/5/2002 - 2010?),,,,,,,,,"Has “Tower Co.” markings; Accident left main ladder unusable--kept at fleet management yard; still in fleet yard as of 8/20/2014 and being used for parts; Tower Co. 54 swapped right front door with this unit, and Truck 57 took the front driver’s side door",Tower Ladder 34 (Gordon J. Nord) Tower 54 door swap (Paco Castenada) Truck 57 door swap (Paco Castenada)
E-329,2005,Pierce Dash 100’ rear mount tower ladder,,Tower Ladder 23 (12/3/2005 - present),,,,,,,,,Has “Tower Co.” markings,Tower Ladder 23 (Gordon J. Nord)
E-330,2005,Pierce Dash 100’ rear mount tower ladder,,Tower Ladder 54 (12/2/2005 - present),,,,,,,,,Has “Tower Co.” markings;,Tower Ladder 54 (Josh Boyajian)
E-331,2005,Pierce Dash 100’ rear mount aerial,,Truck Co. 51 (at least 10/4/2005 - 3/23/2007),,,,,,,,,"Destroyed in rollover crash, 3/23/2007; FF Grant killed in wreck; sold at auction 12/19/2012",Truck 51 (Gordon J. Nord)
E-332,2006,Pierce Dash 105’ HD rear mount aerial,,Aerial Tower 1 (early 2006 - present),,,,,,,,,Pre-piped waterway & LED light bars on both sides of roof,Aerial Tower 1 (Josh Boyajian)
E-333,2006,Pierce Dash 100’ rear mount aerial,,Truck Co. 12 (2006? - present),,,,,,,,,First truck with LED light bar (Vision SL),Truck 12 (Josh Boyajian)
E-334,2006,Pierce Dash 100’ rear mount aerial,,Truck Co. 18 (8/31/2007 - present),,,,,,,,,,Truck 18 (Josh Boyajian)
E-335,2006,Pierce Dash 100’ rear mount aerial,,Truck Co. 20 (? - present),,,,,,,,,,Truck 20 (Josh Boyajian)
E-336,2010,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 51 (2/2011? - ?),Truck Co. 62 (10/2011 - present),,,,,,,,First trucks with all LED lighting; first trucks with rear-facing blue lights; originally assigned to Truck 51 but returned to Crimson for additional work and subsequently sent to Truck 62,Truck 62 (Josh Boyajian)
E-337,2010,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 9 (2/2011 - present),,,,,,,,,,Pre-assignment (Karl Klotz) Truck 9 (Josh Boyajian)
E-338,2010,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 31 (2/2011 - present),,,,,,,,,,Pre-assignment (Karl Klotz) Truck 31 (Erik Haak)
E-339,2010,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 56 (10/2011 - present),,,,,,,,,,Truck 56 (Josh Boyajian)
E-340,2010,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 59 (6/2011 - present),,,,,,,,,"Stuck in floodwater under viaduct at 79th & Kedzie, 8/22/2014",Truck 59 (Josh Boyajian)
E-341,2010,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 51 (2/2011 - present),,,,,,,,,,Truck 51 (Gordon J. Nord)
E-342,2010,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 13 (10/2011 - present),,,,,,,,,,Truck 13 (Josh Boyajian)
E-343,2011,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 42 (2/2012 - present),,,,,,,,,,Truck 42 (Josh Boyajian)
E-344,2011,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 50 (10/2011 - present),,,,,,,,,,Truck 50 (Josh Boyajian)
E-345,2011,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 61 (2/2012? - present),,,,,,,,,,Truck 61 (Josh Boyajian)
E-346,2011,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 57?,,,,,,,,,Truck 57 was not using this as of 12/11/2014,
E-347,2012,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 11 (10/9/2012 - present),,,,,,,,,,Truck 11 (Josh Boyajian)
E-348,2012,Spartan Gladiator Classic/Crimson 103’ rear mount,,Truck Co. 28 (10/11/2012 - present),,,,,,,,,,Truck 28 (Josh Boyajian)
E-349,2012,Spartan Gladiator Classic/Crimson 103’ rear mount,,Training Academy (2-8-7A) (9/2012 - present),,,,,,,,,First seen 9/30/2012,2-8-7A (Josh Boyajian)
E-350,2014,Spartan Gladiator 103’ rear mount,,Truck Co. 24 (5/2014 - present),,,,,,,,,Manufacturer’s completion date: 4/30/2014; first trucks with Vision SLR lights; in memory of Lt. L.C. Merrell,Truck 24 (Josh Boyajian)
E-351,2014,Spartan Gladiator 103’ rear mount,,Truck Co. 47 (5/2014 - present),,,,,,,,,Manufacturer’s completion date: 4/30/2014,Truck 47 (Josh Boyajian)
E-352,2016,E-One Cyclone II HP 100’ rear mount tower ladder,,Tower Ladder 14 (3/2/2016 - present),,,,,,,,,First seen marked on 2/26/2016; first fire was on 3/8/2016 at 4-11 + 1 Special & Haz-mat Level 1 at 4540 W. Haddon,Tower Ladder 14 (Josh Boyajian)
E-353,2016,E-One Cyclone II HP 100’ rear mount tower ladder,,Tower Ladder 37 (3/2/2016 - present),,,,,,,,,First seen marked 3/2/2016,Tower Ladder 37 (Gordon J. Nord)
E-354,2016,E-One Cyclone II HP 100’ rear mount tower ladder,,Tower Ladder 39 (3/10/2016 - present),,,,,,,,,"First seen (with one other, pre-markings) on 2/17/2016 heading into Chicago on Bishop Ford Expressway; first seen marked at Fire Academy on 2/24/2016; has “Tower Co.” markings and first apparatus with blue lights on lightbar; In Memory of Captain Herbert “Herbie” Johnson",Tower Ladder 39 (Terry Spirek)
F-none,,LaFrance SF (ladder trailer),,Truck Co. 26 (12/1915 - 2/1918),,,,,,,,,,
F-none,,American LaFrance SF (ladder trailer),,Truck Co. 28 (10/1915 - 1/1919),,,,,,,,,,
F-none,,CFD SF (ladder trailer),,Truck Co. 20 (12/1916 - 5/1918),Truck Co. 19 (1918 - 6/1922),,,,,,,,Shop rebuilt,
F-none,1884,LaFrance SF (ladder trailer),,Truck Co. 21 (10/1915 - 7/1917),,,,,,,,,,
F-1,1904,American LaFrance 85’ (ladder trailer),,Truck Co. 1 (4/1918 - 5/14/1921),Truck Co. 2 (6/19/1928 - 10/22/1928),Truck Co. 11,Truck Co. 18 (10/1926 - 1/18/1928),Truck Co. 10 (10/22-1928 - 4/3/1937),Truck Co. 27 (5/10/1937 - 6/29/1954),,,,,
F-2,1910,Seagrave/CFD 83’ (ladder trailer),,Truck Co. 2 (1910 - 10/10/1927),Truck Co. 19 (10/18/1927 - 3/4/1954),,,,,,,,rebuilt 1921--became SF trailer?,
F-3,1904,Seagrave ’85 (ladder trailer),,Truck Co. 3 (1904 - 5/1925),Truck Co. 10 (5/1925 - 10/22/1928),Truck Co. 25 (10/31/1928 - 4/1/1930),Truck Co. 2,Truck Co. 28 (5/31/1938 - 11/30/1938),Truck Co. 43 (3/1/1941 - 10/4/1954),,,,Rebuilt 2/2/1915; first Seagrave aerial purchased,
F-4,1905,Seagrave 75’ (ladder trailer),,Truck Co. 4 (1905 - 7/17/1926),Truck Co. 14 (6/1926 - 4/19/1929),,,,,,,,Rebuilt 1/6/1915; Became F-66,
F-5,1918,CFD SF (ladder trailer),,Truck Co. 5 (1918 - 1925),,,,,,,,,,
F-6,1919,Seagrave/CFD 84’ (ladder trailer),,Truck Co. 6 (6/1919 - 2/26/1925),Truck Co. 5 (1925 - 4/3/1937),Truck Co. 10 (4/3/1937 - 2/12/1943),Truck Co. 50 (2/6/1950 - 9/16/1954),,,,,,,
F-7,1918,CFD SF (ladder trailer),,Truck Co. 7 (4/1918 - 10/1926),Truck Co. 39 (7/16/1927 - 10/19/1927),Truck Co. 46 (5/1/1928 - 5/26/1928),Truck Co. 33 (11/14/1929 - 12/13/1929),Truck Co. 29 (1/26/1931 - 2/14/1931),Truck Co. 27 (10/1/1935 - 12/30/1935),Truck Co. 24 (2/18/1936 - 10/31/1946),,,,
F-8,1917,CFD SF (ladder trailer),,Truck Co. 8 (7/1917 - 10/24/1928),Truck Co. 50 (2/1/1929 - 7/5/1929),Truck Co. 48 (7/6/1929 - 3/19/1932),,,,,,,,
F-9,1904,Seagrave 75’ (ladder trailer),,,Truck Co. 9 (4/1918 - 7/17/1926),Truck Co. 28 (11/5/1926 - 5/31/1938),Truck Co. 30 (4/6/1939 - 2/12/1947),,,,,,One of the first spring-raised aerials purchased by CFD; originally truss aerial; Rebuilt 1915 as straight beam aerial; motorized 1917,
F-10,1904,American LaFrance 65’ (ladder trailer),,,Truck Co. 10 (9/1916 - 5/1925),Truck Co. 25 (5/1925 - 10/31/1928),Truck Co. 13 (10/31/1928 - 12/11/1942),Truck Co. 32 (1/19/1944 - 4/10/1954),,,,,,
F-11,1921,CFD SF (ladder trailer),,Truck Co. 1 (5/14/1921 - 10/23/1928),Truck Co. 8 (10/24/1928 - 10/19/1954),Truck Co. 45 (11/6/1954 - 1/25/1956?),,,,,,,,
F-12,1904,Seagrave 85’ (ladder trailer),,Truck Co. 31 (8/1916 - 8/1922),Truck Co. 12 (11/1921 - 1923),Truck Co. 31 (1923 - 2/18/1925),Truck Co. 15 (1924 - 2/29/1928),Truck Co. 14 (5/28/1929 - 9/11/1929),,,,,Rebuilt 2/18/1915; rebuilt & repainted 3/1927; became F-67 on 4/2/1930,
F-13,1918,CFD SF (ladder trailer),,Truck Co. 13 (1918 - 1923),Truck Co. 27 (2/1918 - 7/22/1926),,,,,,,,*Conflict,
F-14,1916,CFD SF (ladder trailer),,Truck Co. 12 (9/1916 - 11/1921),Truck Co. 14 (9/1917 - 1926),,,,,,,,*Conflict,
F-15,1904,American LaFrance 65’ (ladder trailer),,Truck Co. 15 (6/1904 - 1924),Truck Co. 30 (1924 - 8/25/1936),,,,,,,,,
F-16,1915,CFD SF (ladder trailer),,Truck Co. 16 (10/15/1915 - 9/19/1927),Truck Co. 34 (11/2/1927 - 10/24/1928),Truck Co. 33 (12/13/1929 - 12/15/1948),Truck Co. 38 (4/20/1947 - 1/17/1957),,,,,,*Conflict,
F-17*,1916,Seagrave SF 1-piece,,Truck Co. 17 (11/1916 - 12/22/1938),,,,,,,,,Shared designation with E-17 as E&F-17; had tiller steering,
F-18,1917,CFD SF (ladder trailer),,Truck Co. 18 (8/1917 - 10/1926),Truck Co. 24 (8/30/1927 - 7/15/1929),Truck Co. 50 (12/16/1929 - 4/22/1932),,,,,,,,
F-19,1922,Seagrave/CFD 65’ (ladder trailer),,Truck Co. 19 (6/1922 - 10/18/1927),Truck Co. 39 (10/19/1927 - 1/25/1928),Truck Co. 44 (2/16/1928 - 1/10/1945),Truck Co. 52 (2/7/1946 - 6/7/1949),Truck Co. 45 (6/8/1949 - 11/6/1954),,,,,,
F-20,1918,CFD SF (ladder trailer),,Truck Co. 20 (5/1918 - 11/1/1921),,,,,,,,,,
F-21,1917,CFD SF (ladder trailer),,Truck Co. 21 (7/1917 - 11/30/1926),Truck Co. 40 (8/8/1927 - 4/22/1932),Truck Co. 27 (12/30/1935 - 5/10/1937),Truck Co. 30 (4/28/1938 - 4/6/1939),Truck Co. 40 (2/3/1942 - 9/1/1949),Truck Co. 38 (1/19/1957 - 2/27/1960),,,,,
F-22,1919,Seagrave/CFD 75’ (ladder trailer),,,Truck Co. 22 (6/5/1921 - 12/19/1944),,Truck Co. 23 (2/23/1945 - 2/9/1946),Truck Co. 23 (3/5/1946 - 10/19/1956),,,,,,
F-23,1918,CFD SF (ladder trailer),,,Truck Co. 23 (1919 - 10/6/1928),Truck Co. 48 (12/16/1928 - 7/6/1929),Truck Co. 41 (8/17/1932 - 5/27/1938),,,,,,,
F-24,1917,CFD SF (ladder trailer),,Truck Co. 24 (1917 - 10/4/1926),Truck Co. 24 (? - 8/7/1927),Truck Co. 35 (9/16/1931 - 5/2/1932),Truck Co. 32 (5/12/1932 - 1/19/1944),,,,,,,
F-25,1918,Seagrave/CFD SF (ladder trailer),,Truck Co. 25 (3/1918 - 5/1925),Truck Co. 13 (1926 - 10/31/1928),Truck Co. 34 (1/25/1930 - 4/22/1932),Truck Co. 14 (4/19/1929 - 5/28/1929),,,,,,First rig for Truck 25,
F-26,1916,CFD SF (ladder trailer),,Truck Co. 34 (7/1917 - 10/26/1927),Truck Co. 26 (3/20/1916 - 11/3/1926),Truck Co. 46 (5/26/1928 - 10/3/1928),Truck Co. 43 (10/9/1928 - 4/22/1932),Truck Co. 30 (8/25/1936 - 4/28/1938),Truck Co. 20 (2/24/1943 - 12/28/1946),,,,First trailer to have tiller windshield installed by shops **Conflict,
F-27,1917,CFD SF (ladder trailer),,Truck Co. 27 (2/1918 - 1923),Truck Co. 30 (2/1918 - 1924),,,,,,,,*Conflict,
F-28,1918,CFD SF (ladder trailer),,Truck Co. 28 (1/1919 - 11/5/1926),Truck Co. 43 (3/16/1928 - 10/9/1928),Truck Co. 34 (10/24/1928 - 1/25/1930),,,,,,,,
F-29,1917,Seagrave SF (ladder trailer),,Truck Co. 29 (1917 - 1/26/1931),Truck Co. 41 (1/26/1931 - 8/17/1932),,Truck Co. 41 (5/27/1938 - 3/17/1943),,,,,,,
F-30,1916,CFD SF (ladder trailer),,Truck Co. 22 (10/16/1916 - 6/5/1921),Truck Co. 20 (1924 - 1924),,,,,,,,,
F-31,1922,Seagrave/CFD 65’ (ladder trailer),,Truck Co. 31 (8/1922 - 1923),Truck Co. 12 (1923 - 11/1926),Truck Co. 26 (11/3/1926 - 2/14/1931),Truck Co. 29 (2/14/1931 - 12/8/1949),Truck Co. 54 (3/16/1950 - 8/31/1963),Truck Co. 56 (7/16/1965 - 12/2/1966),Truck Co. 33 (7/27/1967 - 11/15/1968),,,"Aerial ladder condemned & bolted in place while at Truck 56, creating a SF trailer, and the last company Truck Company to have no aerial-ladder capabilities; this must have been repaired before assignment to T33",
F-32,1919,CFD SF (ladder trailer),,Truck Co. 32 (5/20/1919 - 2/12/1928),Truck Co. 45 (5/16/1928 - 7/15/1929),Truck Co. 24 (7/15/1929 - 2/12/1936),,,,,,,,
F-33,1920,CFD SF (ladder trailer),,Truck Co. 33 (4/13/1920 - 11/14/1929),Truck Co. 27 (8/30/1930 - 4/22/1932),Truck Co. 35 (5/2/1932 - 11/16/1949),Truck Co. 32 (4/10/1954 - 7/28/1954),,,,,,,
F-34,1917,CFD SF (ladder trailer),,Truck Co. 26 (2/1918 - 11/3/1926),Truck Co. 20 (6/1925 - 2/24/1943),,,,,,,,,
F-35,1917,CFD SF (ladder trailer),,Truck Co. 35 (7/9/1919 - 9/16/1931),Truck Co. 48 (3/19/1932 - 10/15/1949),,,,,,,,,
F-36,1917,CFD SF (ladder trailer),,,Truck Co. 36 (10/16/1919 - 1/24/1945),Truck Co. 33 (12/15/1948 - 9/17/1954),Truck Co. 34 (10/15/1958 - 12/24/1959),Truck Co. 45 (1/18/1963 - 6/14/1963),Truck Co. 54 (8/31/1963 - 7/26/1966),,,,Last Straight Frame trailer in service (no aerial ladder),
F-37,1904,Seagrave/CFD 75’ (ladder trailer),,Truck Co. 6 (1906 - 6/1919),Truck Co. 37 (1/1/1919 - 2/4/1931),Truck Co. 42 (9/28/1931 - 6/27/1951),,,,,,,rebuilt 1915,
F-38,,,,,,,,,,,,,,
F-39,1917,CFD SF (ladder trailer),,,Truck Co. 13 (1923 - 1926),,,,,,,,,
F-40,1925,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 31 (2/18/1925 - 11/17/1928),,Truck Co. 56 (12/27/1959 - 7/6/1964),,,,,,,"Aerial condemned & bolted down while at Truck 56, essentially creating a SF trailer",
F-41,1925,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 6 (2/26/1925 - 11/17/1928),Truck Co. 31 (11/17/1928 - 4/13/1934),Truck Co. 47 (4/13/1934 - 11/19/1934),Truck Co. 31 (11/19/1934 - 1/26/1943),Truck Co. 10 (2/12/1943 - 12/20/1946,Truck Co. 30 (2/12/1947 - 3/22/1950),,,,,
F-42,1890,Babcock 77’ (ladder trailer),,Truck Co. 7 (1915 - 4/1918),,,,,,,,,,
F-43,1917,CFD SF (ladder trailer),,,Truck Co. 27 (7/22/1926 - 8/30/1930),,,,,,,,,
F-44,1916,CFD SF (ladder trailer),,,,,Truck Co. 34 (10/1/1935 - 7/16/1954),,,,,,,
F-45,1925,Seagrave/CFD 85’ (ladder trailer),,Truck Co. 3 (5/1925 - 5/13/1942),,,,,,,,,,
F-46,1926,CFD SF (ladder trailer),,Truck Co. 4 (7/17/1926 - 4/14/1934),Truck Co. 51 (4/14/1934 - 11/19/1934),Truck Co. 4 (11/19/1934 - 8/10/1936),Truck Co. 25 (12/3/1942 - 8/24/1949),Truck Co. 48 (1/30/1950 - 2/1/1956),,,,,Later became Seagrave/CFD 85’ on second go-around at Truck 4?,
