Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
E-127,1954,Pirsch (tractor),,Truck Co. 49 (7/2/1954 - 5/9/1975),,,,,,,,,,
E-128,1954,Pirsch (tractor),,Truck Co. 34 (7/16/1954 - 10/15/1958),Truck Co. 11 (7/17/1959 - 1/30/1970),Truck Co. 19 (10/28/1972 - 3/13/1975),,,,,,,,Truck 11 (Steve Redick)
E-129,1954,Pirsch (tractor),,,Truck Co. 48 (7/24/1958 - 8/4/1966),,Truck Co. 34 (11/20/1968 - 2/20/1970),Truck Co. 14 (9/11/1970 - 9/24/1976),,,,,,Truck 14 (Bill Friedrich)
E-130,1954,FWD (tractor),,Truck Co. 46 (9/15/1954 - 7/10/1967),,Truck Co. 23 (10/1969 - 1/1970),,,,,,,,
E-131,1954,FWD (tractor),,Truck Co. 53 (9/13/1954 - 8/3/1972),,,,,,,,,,Truck 53 (Steve Redick)
E-132,1954,FWD (tractor),,Truck Co. 33 (9/17/1954 - 7/27/1967),,Truck Co. 12 (4/22/1968 - 6/14/1968),Truck Co. 33 (11/15/1968 - 5/29/1975),,,,,,,Truck 33 (Steve Redick) Truck 33 (firemann57) Former Truck 33 (firemann57)
E-133,1954,FWD (tractor),,Truck Co. 41 (9/28/1954 - 5/2/1972),Truck Co. 24 (7/8/1972 - 8/21/1973),Truck Co. 54 (9/20/1973 - 1/30/1975),,,,,,,,
E-134,1954,FWD (tractor),,Truck Co. 21 (10/12/1954 - 9/28/1969),Truck Co. 54 (10/7/1969 - 5/18/1970),Truck Co. 52 (1/27/1973 - 7/1/1973),,,,,,,,Truck 21 (Bill Friedrich)
E-135,1954,FWD (tractor),,Truck Co. 32 (9/30/1954 - 3/27/1970),Truck Co. 19 (7/6/1962 - 11/16/1962),,,,,,,,*Conflict,
E-136,1954,FWD (tractor),,Truck Co. 19 (10/8/1954 - 7/6/1962),Truck Co. 9 (9/3/1963 - 7/14/1967),,,,,,,,,
E-137,1954,FWD (tractor),,Truck Co. 26 (11/4/1954 - 8/12/1965),Truck Co. 26 (12/14/1965 - 3/4/1967),Truck Co. 54 (10/17/1967 - 11/9/1967),Truck Co. 48 (7/24/1967 - 7/21/1968),Truck Co. 54 (7/21/1968 - 10/7/1969),Truck Co. 26 (10/7/1969 - 4/13/1970),Truck Co. 54 (5/22/1970 - 8/28/1973),,,Truck Co. 26 temporarily out of service from 8/12/1965 - 12/14/1965,Truck 26 (Steve Redick) Former Truck 54 tractor (firemann57) Former Truck 54 tractor (firemann57)
E-138,1954,FWD (tractor),,Truck Co. 8 (10/19/1954 - 9/28/1969),Truck Co. 21 (9/28/1969 - 7/7/1970),Truck Co. 53 (8/18/1972 - 12/9/1976),,,,,,,,Truck 8 (Steve Redick)
E-139,1954,FWD (tractor),,Truck Co. 15 (10/19/1954 - 10/17/1958),,,,,,,,,"Totaled in accident with Engine 48 at Pershing & Cottage Grove, 10/17/1958",
E-140,1954,FWD (tractor),,Truck Co. 16 (11/5/1954 - 11/16/1968),Truck Co. 43 (11/16/1968 - 7/14/1971),Truck Co. 50 (4/28/1972 - 2/27/1973),Truck Co. 57 (11/8/1973 - 8/30/1974),,,,,,,
E-141,1954,FWD (tractor),,Truck Co. 57 (1/18/1955 - 5/22/1962),Truck Co. 19 (11/16/1962 - 7/9/1968),Truck Co. 14 (4/3/1970 - 6/7/1970),Truck Co. 57 (4/14/1972 - 6/5/1973),Truck Co. 52 (7/1/1973 - 9/5/1975),,,,,First apparatus for Truck 57; remained numbered as Truck 57 while at Truck 19,
E-142,1954,FWD (tractor),,,Truck Co. 15 (10/17/1958 - 4/1960),Truck Co. 62,Truck Co. 39 (5/24/1969? - 6/16/1969),,,,,,First apparatus for Truck 62; Truck 39 OOS 6/16/1969,
E-143,1956,FWD (tractor),,Truck Co. 37 (6/7/1956 - 12/18/1959),Truck Co. 60 (12/20/1959 - 2/7/1975),,,,,,,,First apparatus for Truck 60; E-143 commonly assigned as city-wide spare from 1964 to 1971 since aerial ladder functioned,Truck 37 (Steve Redick)
E-144,1956,FWD (tractor),,Truck Co. 18 (2/14/1956 - 9/17/1970),Truck Co. 37 (1/21/1971 - 11/6/1971),,,,,,,,,
E-145,1956,FWD (tractor),,Truck Co. 9 (2/16/1956 - 9/3/1963),Truck Co. 37 (9/4/1963 - 12/20/1963),Truck Co. 37 (3/27/1967 - 10/14/1968),Truck Co. 37 (11/12/1968 - 12/17/1969),Truck Co. 61 (11/16/1970 - 2/21/1974),Truck Co. 57 (8/30/1974 - 5/23/1975),,,,,Truck 9 (Bill Friedrich) Truck 37 (firemann57)
E-146,1956,FWD (tractor),,Truck Co. 47 (3/8/1956 - 9/4/1970),Truck Co. 50 (8/8/1974 - 2/19/1976),Reserve Truck RT-146,,,,,,,"*From 3/8/1972 - 3/11/1976, Truck 50 was assigned at least ten different FWD tractors, some of which are not identified",RT-146 (Bill Friedrich)
E-147,1956,FWD (tractor),,Truck Co. 30 (5/24/1956 - 11/2/1960),,Truck Co. 61 (8/29/1961 - 11/16/1970),Truck Co. 52 (1/4/1971 - 11/15/1972),Truck Co. 29 (12/15/1972 - 4/6/1973),,,,,First apparatus for Truck 61,Truck 61 (Bill Friedrich)
E-148,1956,FWD (tractor),,Truck Co. 58 (5/16/1956 - 6/30/1972),Truck Co. 29 (6/30/1972 - 12/15/1972),Truck Co. 50 (4/24/1973 - 12/24/1973),Truck Co. 35 (7/8/1974 - 7/15/1976),,,,,,First apparatus for Truck 58,
E-149,1956,FWD (tractor),,Truck Co. 11 (5/31/1956 - 7/17/1959),Truck Co. 55 (7/31/1959 - 3/28/1975),,,,,,,,,
E-150,1959,Mack B/Magirus 100’ rear mount,,Truck Co. 10 (7/28/1959 - 1/5/1969),Truck Co. 45 (1/10/1969 - 5/21/1976),Truck Co. 8 (6/3/1976 - 4/26/1977),Truck Co. 59 (4/27/1977 - 5/5/1977),,,,,,"Privately owned (in Marietta, NY) as of summer 2008",Truck 10 (Steve Redick) Truck 10 (Steve Redick) Truck 10 (Steve Redick) Truck 45 (chicagofd.org)
E-151,1959,Mack B/Magirus 100’ rear mount,,Truck Co. 3 (10/5/1959 - 2/23/1960),Truck Co. 39 (2/25/1960 - 4/29/1960),Truck Co. 30 (11/2/1960 - 2/24/1970),Truck Co. 59 (3/12/1970 - 4/27/1977),,,,,,Mars DX-40s on roof and Mars 888s on fenders gone while at Truck 59 - Federal Beacon-Rays instead; large side lettering removed by Truck 59 stay,Truck 3 (Steve Redick) Truck 59 (firemann57) Truck 59 (firemann57) Truck 59 (firemann57) Truck 59 (firemann57)
E-152,1959,Mack B/Magirus 144’ rear mount,,Truck Co. 3 (2/23/1960 - 5/24/1969),Truck Co. 8 (9/28/1969 - 6/3/1976),,,,,,,,,Truck 3 (Steve Redick) Truck 8 (Bill Friedrich)
E-153,1959,Mack B/Magirus 144’ rear mount,,Truck Co. 39 (4/29/1960 - 5/24/1969?),Truck Co. 3 (5/24/1969 - 1/15/1970),Truck Co. 2 (1/28/1970 - 1/20/1975),,,,,,,,Truck 3 (Bill Friedrich) Truck 2 (chicagofd.org) Truck 2 (chicagofd.org) Truck 2 (firemann57)
E-154,1960,Mack (tractor),,Truck Co. 37 (12/20/1963 - 6/9/1965),Truck Co. 35 (7/12/1966 - 4/16/1970),Truck Co. 25 (7/24/1970 - 3/14/1974),Truck Co. 54 (1/30/1975 - 7/7/1977),,,,,,,
E-155,1960,Mack (tractor),,Truck Co. 15 (4/1960 - 8/1/1963),Truck Co. 54 (8/31/1963 - 2/11/1964),Truck Co. 26 (4/17/1967 - 9/1/1967),Truck Co. 12 (9/6/1967 - 1/23/1968),Truck Co. 24 (8/21/1973 - 11/12/1974),,,,,,
E-156,,,,,,,,,,,,,,
E-157,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 56 (12/2/1966 - 2/22/1978),,,,,,,,,,Truck 56 (Midwest Fire Depts)
E-158,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 4 (1/28/1967 - 2/18/1974),Truck Co. 25 (3/14/1974 - 5/25/1977),,,,,,,,,Truck 25 (Bill Friedrich)
E-159,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 17 (1/19/1967 - 4/7/1978),,,,,,,,,,Truck 17 (Bill Friedrich)
E-160,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 5 (12/16/1966 - 10/27/1972),Truck Co. 38 (12/8/1972 - 3/23/1978),Truck Co. 34 (4/26/1981 - ?),,,,,,,,Truck 5 (Steve Redick) Truck 38 (Bill Friedrich)
E-161,1966,Mack C/Pirsch 100’ mid mount,,Truck Co. 40 (1/5/1967 - 7/5/1977),,,,,,,,,,
E-162,1966?,Mack C/Pirsch 100’ mid mount?,,,,,,,,,,,Unconfirmed,
